"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R2N45ZKRRZS856",5,21,22,"Y","N"
"R5OMLMK13A8NS",5,34,38,"Y","N"
"R2MPEQ4SPTEQNS",4,180,184,"Y","N"
"RIR0D3KJ0CQ31",4,21,21,"Y","N"
"R1SPWJDHUWWC5E",5,88,98,"Y","N"
"R1X6M5XA3FT98W",5,24,26,"Y","N"
"R37VCW6HA0Z72T",5,27,28,"Y","N"
"R2XRYNV2SY3ZKL",5,53,56,"Y","N"
"R2QVTDYYLTP8SL",5,21,24,"Y","N"
"R1Y93KWKAX1P5N",2,26,31,"Y","N"
"R3KOK2SH39BZU1",3,94,96,"Y","N"
"R2VOM73EHLPXJW",4,35,38,"Y","N"
"R3SEZS7BZEC69Y",5,16,20,"Y","N"
"R1MJ5J272V19O6",4,49,51,"Y","N"
"R3A7BQX1JDKOM5",4,20,20,"Y","N"
"R1307JMPUEQXOW",5,31,35,"Y","N"
"RXV0SDXE5B15T",2,39,42,"Y","N"
"RBMDYE7LUH9FI",5,26,32,"Y","N"
"R1N4W961QV59BV",5,25,34,"Y","N"
"R11XKHFS4KQS3Z",4,205,211,"Y","N"
"R2AT1A0VUSY955",5,22,24,"Y","N"
"RMFBF4KEBW9RK",5,37,43,"Y","N"
