"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R37F42INKX7L9K",5,45,49,"N","Y"
"R2EHKYNEP8WVSR",5,25,25,"N","Y"
"RXOS7BHID0UHL",5,16,27,"N","N"
"R33HHGFPB403GM",5,19,21,"N","Y"
"RY9O9XNLP464N",2,19,22,"N","Y"
"R1TXGR1HA2M3P3",5,28,29,"N","Y"
"R6OD85TMEMHQQ",5,28,28,"N","Y"
"R2P2S8UGUMCOLX",5,21,22,"N","Y"
"R2VP11C28JAEZF",5,30,30,"N","Y"
"R1G4PAJXP3FTN7",2,43,51,"N","Y"
"R342L93CXGDZO5",2,73,76,"N","Y"
"RBTQKXGJ9RP7C",1,33,33,"N","Y"
"R31Z97KFD4HMNF",3,23,26,"N","Y"
"R2NDB7EQLYK87A",5,44,46,"N","Y"
"R154Q41ID7FTFC",5,24,26,"N","Y"
"R1C0W0OSBCVXC2",1,45,46,"N","Y"
"R3GFX9ZNZ0T3TA",1,35,35,"N","Y"
"R1NAX488QFLAMK",4,26,27,"N","Y"
"R1MYE8WQ3812L8",5,17,20,"N","Y"
"RYSL8MU2858GB",5,71,73,"N","Y"
"R1LKHB01N26RHL",4,27,30,"N","Y"
"R2H8MH0N2IZKMY",5,22,23,"N","Y"
"R2AA1L5ELMHC99",3,156,159,"N","Y"
"R1SFMA1XAAUIVG",5,37,38,"N","Y"
"R15ANY3PXYBDIG",5,22,23,"N","N"
"RQN5511LDI736",5,53,59,"N","Y"
"R24CNRZ8PBOV6R",5,41,45,"N","Y"
"R3SCQZGVCXXA8V",5,68,75,"N","Y"
"R10JQ538S0XCEU",5,59,67,"N","Y"
"R1SSAYFE7GM22N",3,20,21,"N","Y"
"R3KSD21XF2ZAGF",2,38,42,"N","Y"
"R3ES7IGV9K151G",5,25,26,"N","Y"
"R27HGME2K59VZ5",1,29,31,"N","Y"
"R393YEJM2GY78F",5,22,22,"N","Y"
"R2FGZ1QP17EQY2",2,8,20,"N","Y"
"R9V33TO6BX0US",1,24,26,"N","Y"
"R3O5IYUU3ZUJHG",3,18,21,"N","Y"
"RTDIQ4TBLNLW0",1,25,26,"N","Y"
"R1LR2KEUC6ISDP",4,20,22,"N","Y"
"RTB28YRHGE7NW",5,25,25,"N","Y"
"ROA0K86IHBBQS",5,19,22,"N","N"
"R1W1NW23BCX7QK",5,30,32,"N","Y"
"R1OBDT3WHQ2IF7",5,30,33,"N","Y"
"R26M368N4R90HD",5,25,26,"N","Y"
"R2VWJIVGCTMULX",4,28,28,"N","Y"
"R29XISG7JFRTTQ",5,33,37,"N","Y"
"R34N9QKGXELEKW",5,30,32,"N","Y"
"R1K9Y5159IQIW",1,39,43,"N","Y"
"R8P5KR7A07WAZ",5,46,47,"N","Y"
"R2LY2PZBLGURHR",2,64,64,"N","Y"
"R1XNTAFS6VWTA9",5,15,25,"N","N"
"RUO2TVZ2VQKL6",5,14,35,"N","Y"
"R20MMBB0JQ6UX9",5,22,22,"N","Y"
"R1IYRC0QSYTU10",4,33,33,"N","Y"
"ROVZUURY61KEM",3,20,22,"N","Y"
"R1YV9QZ594KTO",4,35,36,"N","Y"
"RSMY5JH0B27SS",5,35,37,"N","Y"
"R1X7P9BIGBL8UM",3,27,29,"N","Y"
"R15XGJ5S6XZQOW",4,20,20,"N","Y"
"RM068G76CW9PY",1,21,21,"N","Y"
"R12FQ3TERCVNXP",1,18,20,"N","Y"
"R1638RNS2ZGMD2",3,22,25,"N","Y"
"REEHTDQZKAAIR",1,105,113,"N","Y"
"R328D7QB3QJH0E",3,96,102,"N","Y"
"RDM3B1TRM6P67",4,115,115,"N","Y"
"RWUW2XM5Z5H9Y",5,18,20,"N","N"
"R23W0TU0NXSC0K",5,24,24,"N","Y"
"R23P37CEZMFICT",5,24,26,"N","N"
"R1OIALTH6AGP51",5,121,121,"N","Y"
"R1T9CO3FY8SF97",5,68,69,"N","N"
"R1YP2N2REHAJA6",5,34,34,"N","Y"
"R1IGB7ANXN55U9",4,63,68,"N","N"
"R3R3ESIAESU7BD",2,18,20,"N","Y"
"R2978K3AG1QJBA",1,20,20,"N","Y"
"R36D6AJTR06SET",5,107,112,"N","Y"
"R36KWO6FO5TJNS",1,15,21,"N","Y"
"R3JYQAH2DWECPJ",5,22,22,"N","Y"
